subdistrict_name,subdistrict_english_name,subdistrict_area,subdistrict_population_2566,subdistrict_density_2566,district_name,district_english_name
ท่าแร้ง,Tha Raeng,23.717,"98,708","4,161.91",บางเขน,Bang Khen
ศาลเจ้าพ่อเสือ,San Chaopho Suea,0.144,"2,676","18,583.33",พระนคร,Phra Nakhon
คลองจั่น,Khlong Chan,12.062,"73,827","6,120.63",บางกะปิ,Bang Kapi
ช่องนนทรี,Chong Nonsi,9.984,"46,398","4,647.24",ยานนาวา,Yan Nawa
พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,1.647,"2,896","1,758.35",พระนคร,Phra Nakhon
หนองแขม,Nong Khaem,18.789,"80,485","4,283.62",หนองแขม,Nong Khaem
ดาวคะนอง,Dao Khanong,1.289,"16,581","12,863.46",ธนบุรี,Thon Buri
สะพานสูง,Saphan Sung,8.147,"27,528","3,378.91",สะพานสูง,Saphan Sung
ลาดพร้าว,Lat Phrao,15.102,"87,268","5,778.57",ลาดพร้าว,Lat Phrao
ลำผักชี,Lam Phak Chi,33.358,"33,816","1,013.73",หนองจอก,Nong Chok
ชนะสงคราม,Chana Songkhram,0.339,"1,636","4,825.96",พระนคร,Phra Nakhon
คลองชักพระ,Khlong Chak Phra,1.251,"9,560","7,641.89",ตลิ่งชัน,Taling Chan
รัชดาภิเษก,Ratchadaphisek,3.736,"41,551","11,121.79",ดินแดง,Din Daeng
หนองจอก,Nong Chok,29.992,"24,218",807.48,หนองจอก,Nong Chok
นวมินทร์,Nawamin,4.885,"26,338","5,391.61",บึงกุ่ม,Bueng Kum
ลำต้อยติ่ง,Lam Toiting,24.789,"9,857",397.52,หนองจอก,Nong Chok
จักรวรรดิ,Chakkrawat,0.484,"5,886","12,161.16",สัมพันธวงศ์,Samphanthawong
อ่อนนุช,On Nut,5.894,"43,599","7,397.18",สวนหลวง,Suan Luang
สัมพันธวงศ์,Samphanthawong,0.483,"7,324","15,163.56",สัมพันธวงศ์,Samphanthawong
บางขุนพรหม,Bang Khun Phrom,0.458,"3,736","8,157.21",พระนคร,Phra Nakhon
วัดท่าพระ,Wat Tha Phra,5.346,"49,690","9,294.80",บางกอกใหญ่,Bangkok Yai
บางเชือกหนัง,Bang Chueak Nang,2.915,"12,043","4,131.39",ตลิ่งชัน,Taling Chan
แสนแสบ,Saen Saep,35.186,"45,076","1,281.08",มีนบุรี,Min Buri
