id,d_zone,district_name,area,public_place,private,official_place,temple_area,state_enterprise,elsewhere,overpass,bus_stop,park,shelter,vacant_land,commerce_building,entertainment_place,bridge,street,bridgesandroads,footpath,alley,village,tourist_attraction,academy,government,intersection,pier,promenade,footpathandalley,gardens_bridges,skytrain_station,tunnelundertheroad,sports_center,transport_station,religious_place,other_area,lonely_night,lone_day,blind_spot,desolate,dirty,old_building,damaged_light,obstructing_traffic,homeless,mingling_source,mayhem,extortion,accident_r,accident_f,accident_e,accident_s,accident_t,accident_o,harass,chaotically,danger_animals,landmark,other_risk,surveillance,clean,tree_pruning,adjust_landscape,demolish,check_cctv,install_cctv,repair_cctv,install_light,repair_light,warning_label,coordinate_police,traffic_officer,related_agencies,safety_equipment,d_data,adddate,updatedate
22,กรุงเทพกลาง,พระนคร,24,24,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,4,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6/8/2020,6/8/2020
21,กรุงเทพกลาง,พญาไท,12,12,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,2,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,1,1,0,3,0,0,0,0,0,6/8/2020,6/8/2020
20,กรุงเทพกลาง,ป้อมปราบศัตรูพ่าย,7,7,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,6/8/2020,6/8/2020
19,กรุงเทพกลาง,ดุสิต,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,3,0,2,1,0,0,0,0,0,0,6/8/2020,6/8/2020
18,กรุงเทพกลาง,ดินแดง,9,9,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6/8/2020,6/8/2020
17,กรุงเทพใต้,สาทร,7,6,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
16,กรุงเทพใต้,สวนหลวง,8,7,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,3,0,1,0,1,0,0,1,0,0,6/8/2020,6/8/2020
15,กรุงเทพใต้,วัฒนา,22,20,2,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,2,4,0,0,1,1,2,3,3,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,0,2,1,2,0,0,0,0,0,0,0,6/8/2020,6/8/2020
14,กรุงเทพใต้,ยานนาวา,9,6,2,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,9,3,0,1,0,0,4,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6/8/2020,6/8/2020
13,กรุงเทพใต้,พระโขนง,12,0,12,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
