type,coords,ticket_id,organization,comment photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
Point,"[100.57367, 13.7669]",2025-G99XHG,"กรุงเทพมหานคร, เขตห้วยขวาง, เขตดินแดง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/28a756f0793787089626028395c1bf6b.jpg,,"Thailand Cultural Centre, Watthanatham Road, Huai Khwang, Khet Huai Khwang, Bangkok, 10310, 14 ถนน เทียมร่วมมิตร แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย",ห้วยขวาง,ห้วยขวาง,จังหวัดกรุงเทพมหานคร,2025-05-05 18:15:33,ส่งต่อ(ใหม่),,0,2025-05-05 18:15:33
Point,"[100.51981, 13.71673]",2025-GPPCLX,"กรุงเทพมหานคร, เขตสาทร",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/d666cf935744e1c611ed40c15eb2838a.jpg,,52 ถ. สาทรใต้ แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120 ประเทศไทย,ยานนาวา,สาทร,จังหวัดกรุงเทพมหานคร,2025-05-05 18:15:19,รอรับเรื่อง,,0,2025-05-05 18:15:19
Point,"[100.56493, 13.75978]",2025-WPFYXN,"กรุงเทพมหานคร, เขตดินแดง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/8cca612a93e909873ca73308ba0213d9.jpg,,312/27 อโศก - ดินแดง แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,ดินแดง,ดินแดง,จังหวัดกรุงเทพมหานคร,2025-05-05 18:14:48,รอรับเรื่อง,,0,2025-05-05 18:14:48
Point,"[100.56493, 13.75978]",2025-ETWPK9,"กรุงเทพมหานคร, เขตดินแดง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/636892f154a0a1b7bc50a9f0ea739d91.jpg,,312/27 อโศก - ดินแดง แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,ดินแดง,ดินแดง,จังหวัดกรุงเทพมหานคร,2025-05-05 18:14:47,รอรับเรื่อง,,0,2025-05-05 18:14:47
Point,"[100.6062, 13.94014]",2025-BPPYVM,"กรุงเทพมหานคร, สำนักสิ่งแวดล้อม กทม., เขตดอนเมือง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/35142183a2c0431a84c23cf2959e37b2.jpg,,22 ซ. เลียบคูนายกิม แขวงสีกัน ดอนเมือง กรุงเทพมหานคร 10210 ประเทศไทย,สีกัน,ดอนเมือง,จังหวัดกรุงเทพมหานคร,2025-05-05 18:14:15,รอรับเรื่อง,,0,2025-05-05 18:14:15
Point,"[100.52344, 13.75618]",2025-G6M746,"กรุงเทพมหานคร, เขตราชเทวี",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/6c4f1e5a3db0c2c7f7c9b1ee097d3de5.jpg,,15 ถ. เพชรบุรี แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ถนนเพชรบุรี,ราชเทวี,จังหวัดกรุงเทพมหานคร,2025-05-05 18:14:05,รอรับเรื่อง,,0,2025-05-05 18:14:05
Point,"[100.37866, 13.79698]",BR2BE4,"ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เขตทวีวัฒนา, ฝ่ายรักษาความสะอาดฯ เขตทวีวัฒนา",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/4c627a13acb74349187042e11d0df424.jpg,,13 ถ. ศาลาธรรมสพน์ แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170 ประเทศไทย,ศาลาธรรมสพน์,ทวีวัฒนา,จังหวัดกรุงเทพมหานคร,2025-05-05 18:12:48,รับเรื่อง,,0,2025-05-05 18:12:48
Point,"[100.54287, 13.73849]",2025-WECMAH,"กรุงเทพมหานคร, เขตปทุมวัน, ฝ่ายเทศกิจ เขตปทุมวัน",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/7f4100de08c955517d17d4c4450da0d9.jpg,,PGQV+949 ซ.หลังสวน แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,2025-05-05 18:11:49,รอรับเรื่อง,,0,2025-05-05 18:11:49
Point,"[100.34528, 13.7176]",2025-BHUVVH,"กรุงเทพมหานคร, เขตหนองแขม",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/092fc2e047c002ed86aceebd08ca5f2f.jpg,,331/3 ซอย เพชรเกษม 110 แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10140 ประเทศไทย,หนองค้างพลู,หนองแขม,จังหวัดกรุงเทพมหานคร,2025-05-05 18:11:17,รอรับเรื่อง,,0,2025-05-05 18:11:17
Point,"[100.34528, 13.7176]",2025-WEHUZ9,"กรุงเทพมหานคร, เขตหนองแขม",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/d03069c67995f26b3c1f85c53d551ef4.jpg,,331/3 ซอย เพชรเกษม 110 แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10140 ประเทศไทย,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,2025-05-05 18:11:15,รอรับเรื่อง,,0,2025-05-05 18:11:15
Point,"[100.51117, 13.69037]",2025-WDD6ZW,"กรุงเทพมหานคร, เขตบางคอแหลม, บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน)",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/72f9a47c0742a0e7ef9061c739d79a4d.jpg,,914/9 พระราม 3 ซอย 21 แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120 ประเทศไทย,บางโคล่,บางคอแหลม,จังหวัดกรุงเทพมหานคร,2025-05-05 18:09:14,ส่งต่อ(ใหม่),,0,2025-05-05 18:09:14
Point,"[100.526, 13.77757]",2025-PMTKED,"กรุงเทพมหานคร, เขตดุสิต, ฝ่ายรักษาความสะอาดฯ เขตดุสิต",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/cc93264468bbbfd8f8ea28361f5321b1.jpg,,1085/6 - 7 ถ. นครไชยศรี แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300 ประเทศไทย,ถนนนครไชยศรี,ดุสิต,จังหวัดกรุงเทพมหานคร,2025-05-05 18:09:09,กำลังดำเนินการ,,0,2025-05-05 18:09:09
Point,"[100.47965, 13.68849]",2025-DZPDKP,"กรุงเทพมหานคร, เขตจอมทอง, ฝ่ายโยธา เขตจอมทอง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/ab87bb3ce7d22c822cefe18fa0537fe6.jpg,,217 ถ. สุขสวัสดิ์ แขวงจอมทอง เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,จอมทอง,จอมทอง,จังหวัดกรุงเทพมหานคร,2025-05-05 18:07:31,รอรับเรื่อง,,0,2025-05-05 18:07:31
Point,"[100.47965, 13.68849]",2025-L97TZG,"กรุงเทพมหานคร, เขตจอมทอง, ฝ่ายโยธา เขตจอมทอง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/3639223d44afe129cf16071b92f5a35f.jpg,,217 ถ. สุขสวัสดิ์ แขวงจอมทอง เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,จอมทอง,จอมทอง,จังหวัดกรุงเทพมหานคร,2025-05-05 18:06:08,รอรับเรื่อง,,0,2025-05-05 18:06:08
Point,"[100.47965, 13.68849]",2025-KRAM9F,"กรุงเทพมหานคร, เขตจอมทอง, ฝ่ายโยธา เขตจอมทอง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/e654fb4f8bbed3b05724d740862e2507.jpg,,217 ถ. สุขสวัสดิ์ แขวงจอมทอง เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,จอมทอง,จอมทอง,จังหวัดกรุงเทพมหานคร,2025-05-05 18:06:08,รอรับเรื่อง,,0,2025-05-05 18:06:08
Point,"[100.53291, 13.69801]",2025-AW8EKK,"กรุงเทพมหานคร, เขตยานนาวา, สน.บางโพงพาง, กองบัญชาการตำรวจนครบาล (บช.น.), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบังคับการตำรวจนครบาล 5 (บก.น.5)",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/f1bd25ce8785c54517b55f6ec74692ef.jpg,,507/262 ซอย สาธุประดิษฐ์ 23 แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย,ช่องนนทรี,ยานนาวา,จังหวัดกรุงเทพมหานคร,2025-05-05 18:05:23,ส่งต่อ(ใหม่),,0,2025-05-05 18:05:23
Point,"[100.53291, 13.69801]",2025-JATT4Y,"กรุงเทพมหานคร, เขตยานนาวา, สน.บางโพงพาง, กองบัญชาการตำรวจนครบาล (บช.น.), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบังคับการตำรวจนครบาล 5 (บก.น.5)",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/5b191eb08c52977aa43546cea6cea1d3.jpg,,507/262 ซอย สาธุประดิษฐ์ 23 แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย,ช่องนนทรี,ยานนาวา,จังหวัดกรุงเทพมหานคร,2025-05-05 18:05:21,ส่งต่อ(ใหม่),,0,2025-05-05 18:05:21
Point,"[100.47913, 13.77621]",2025-3KUKDV,"กรุงเทพมหานคร, เขตบางกอกน้อย",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/cc427ea360cb722419ed244d3f12135b.jpg,,1/90 ถ. บรมราชชนนี แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,อรุณอมรินทร์,บางกอกน้อย,กรุงเทพมหานคร,2025-05-05 18:04:18,รอรับเรื่อง,,0,2025-05-05 18:04:18
